"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 31, 2020","1.55280","1.44340","1.55280","1.44340","842.27K","7.58%"
"Oct 30, 2020","1.44340","1.43140","1.44340","1.43140","797.79K","0.84%"
"Oct 29, 2020","1.43140","1.51700","1.52770","1.43140","863.09K","-5.64%"
"Oct 28, 2020","1.51700","1.71930","1.71930","1.51700","873.57K","-11.77%"
"Oct 27, 2020","1.71930","1.68190","1.71930","1.66910","930.36K","2.22%"
"Oct 26, 2020","1.68190","1.79260","1.79260","1.68190","1.01M","-6.18%"
"Oct 25, 2020","1.79260","1.91140","1.91140","1.77610","1.01M","-6.22%"
"Oct 24, 2020","1.91140","1.96740","1.96740","1.91140","1.16M","-2.85%"
"Oct 23, 2020","1.96740","1.95630","1.96740","1.95630","1.05M","0.57%"
"Oct 22, 2020","1.95630","1.88760","1.95630","1.88760","1.12M","3.64%"
"Oct 21, 2020","1.88760","1.88470","1.93020","1.88470","1.03M","0.15%"
"Oct 20, 2020","1.88470","2.05700","2.05700","1.88470","1.14M","-8.38%"
"Oct 19, 2020","2.05700","2.21160","2.21160","2.05700","1.17M","-6.99%"
"Oct 18, 2020","2.21160","2.19970","2.21160","2.19970","1.19M","0.54%"
"Oct 17, 2020","2.19970","2.13180","2.19970","2.13180","1.25M","3.19%"
"Oct 16, 2020","2.13180","2.26760","2.26760","2.13180","1.27M","-5.99%"
"Oct 15, 2020","2.26760","2.31280","2.31280","2.26760","1.28M","-1.95%"
"Oct 14, 2020","2.31280","2.40980","2.40980","2.31280","1.31M","-4.03%"
"Oct 13, 2020","2.40980","2.58230","2.58230","2.40980","1.47M","-6.68%"
"Oct 12, 2020","2.58230","2.42170","2.58230","2.42170","1.44M","6.63%"
"Oct 11, 2020","2.42170","2.40360","2.42170","2.40360","1.37M","0.75%"
"Oct 10, 2020","2.40360","2.53880","2.53880","2.40360","1.45M","-5.33%"
"Oct 09, 2020","2.53880","2.37580","2.53880","2.37580","1.35M","6.86%"
"Oct 08, 2020","2.37580","2.30820","2.37580","2.24360","1.25M","2.93%"
"Oct 07, 2020","2.30820","2.17000","2.30820","2.17000","1.35M","6.37%"
"Oct 06, 2020","2.17000","2.65360","2.65360","2.17000","1.37M","-18.22%"
"Oct 05, 2020","2.65360","2.51460","2.65360","2.48920","1.49M","5.53%"
"Oct 04, 2020","2.51460","2.53830","2.54700","2.51070","1.38M","-0.93%"
"Oct 03, 2020","2.53830","2.62470","2.62470","2.53830","1.53M","-3.29%"
"Oct 02, 2020","2.62470","2.86220","2.86220","2.62470","1.47M","-8.30%"
"Oct 01, 2020","2.86220","2.89450","2.98260","2.86220","1.68M","-1.12%"
"Sep 30, 2020","2.89450","2.94480","2.94480","2.89450","1.55M","-1.71%"
"Sep 29, 2020","2.94480","2.95680","2.98370","2.93380","1.67M","-0.41%"
"Sep 28, 2020","2.95680","3.15490","3.15490","2.95680","1.71M","-6.28%"
"Sep 27, 2020","3.15490","3.12960","3.15490","3.12960","1.79M","0.81%"
"Sep 26, 2020","3.12960","3.18720","3.18720","3.08570","1.67M","-1.81%"
"Sep 25, 2020","3.18720","3.15160","3.18720","3.15160","1.73M","1.13%"
"Sep 24, 2020","3.15160","2.83980","3.15160","2.83980","1.79M","10.98%"
"Sep 23, 2020","2.83980","2.91150","2.91150","2.83980","1.63M","-2.46%"
"Sep 22, 2020","2.91150","2.76880","2.91150","2.76880","1.45M","5.15%"
"Sep 21, 2020","2.76880","2.87200","2.87200","2.65020","1.54M","-3.59%"
"Sep 20, 2020","2.87200","3.02570","3.02570","2.86630","1.70M","-5.08%"
"Sep 19, 2020","3.02570","3.10320","3.17290","3.02570","1.68M","-2.50%"
"Sep 18, 2020","3.10320","2.89660","3.10320","2.89660","1.63M","7.13%"
"Sep 17, 2020","2.89660","2.57090","2.89660","2.57090","910.45K","12.67%"
"Sep 16, 2020","2.57090","2.93590","2.93590","2.57090","1.09M","-12.43%"
"Sep 15, 2020","2.93590","3.26540","3.27640","2.93590","1.72M","-10.09%"
"Sep 14, 2020","3.26540","3.20140","3.26540","3.20140","1.82M","2.00%"
"Sep 13, 2020","3.20140","3.33080","3.33080","3.16630","1.70M","-3.88%"
"Sep 12, 2020","3.33080","3.40050","3.40050","3.23090","1.76M","-2.05%"
"Sep 11, 2020","3.40050","3.46640","3.46640","3.14620","1.71M","-1.90%"
"Sep 10, 2020","3.46640","3.62290","3.77190","3.46640","2.08M","-4.32%"
"Sep 09, 2020","3.62290","2.47980","3.62290","2.47980","1.88M","46.10%"
"Sep 08, 2020","2.47980","2.93780","2.93780","2.47980","1.38M","-15.59%"
"Sep 07, 2020","2.93780","3.04000","3.17000","2.40110","962.94K","-3.36%"
"Sep 06, 2020","3.04000","2.45430","3.04000","2.45430","1.23K","23.86%"
"Sep 05, 2020","2.45430","3.61000","3.61000","2.45430","15.16K","-32.01%"
"Sep 04, 2020","3.61000","3.97520","3.97520","3.61000","1.05M","-9.19%"
"Sep 03, 2020","3.97520","4.17040","4.17040","3.97520","1.39M","-4.68%"
"Sep 02, 2020","4.17040","4.49030","4.49030","4.11910","1.42M","-7.12%"
"Sep 01, 2020","4.49030","4.77190","4.77190","4.49030","376.61K","-5.90%"
"Aug 31, 2020","4.77190","4.45300","4.77190","4.25790","558.66K","7.16%"
"Aug 30, 2020","4.45300","3.99690","4.45300","3.99690","287.44K","11.41%"
"Aug 29, 2020","3.99690","4.01930","4.01930","3.99690","362.32K","-0.56%"
"Aug 28, 2020","4.01930","3.42690","4.01930","3.42690","560.24K","17.29%"
"Aug 27, 2020","3.42690","3.56360","3.56360","3.37080","532.27K","-3.84%"
"Aug 26, 2020","3.56360","3.26120","3.68890","3.26120","565.94K","9.27%"
"Aug 25, 2020","3.26120","3.38290","3.38290","3.18130","550.50K","-3.60%"
"Aug 24, 2020","3.38290","3.31870","3.38290","3.31870","569.31K","1.93%"
"Aug 23, 2020","3.31870","3.03650","3.36300","3.03650","565.29K","9.29%"
"Aug 22, 2020","3.03650","2.94810","3.03650","2.83410","544.17K","3.00%"
"Aug 21, 2020","2.94810","3.21720","3.21940","2.94810","420.99K","-8.36%"
"Aug 20, 2020","3.21720","2.89960","3.21720","2.89960","578.72K","10.95%"
"Aug 19, 2020","2.89960","3.31120","3.31120","2.89960","541.63K","-12.43%"
"Aug 18, 2020","3.31120","3.10030","3.31120","3.10030","605.41K","6.80%"
"Aug 17, 2020","3.10030","3.40010","3.40010","3.10030","550.86K","-8.82%"
"Aug 16, 2020","3.40010","3.19630","3.40010","3.19630","560.85K","6.38%"
"Aug 15, 2020","3.19630","3.38630","3.38630","3.19630","560.75K","-5.61%"
"Aug 14, 2020","3.38630","3.71060","3.71060","3.38630","538.20K","-8.74%"
"Aug 13, 2020","3.71060","3.73070","3.86380","3.70630","588.29K","-0.54%"
"Aug 12, 2020","3.73070","3.24300","3.73070","3.24300","558.03K","15.04%"
"Aug 11, 2020","3.24300","3.13720","3.24300","2.87480","563.25K","3.37%"
